0,0,0
-0.533,0.147,-0.167
-0.303,-0.642,0.404
0.106,-0.563,-0.819
0.11,0.55,0.137
0.43,-0.713,0.554
0.59,-0.467,-0.317
-0.193,-0.092,0.536
0.483,0.18,0.633
0.898,0.41,-0.161
-0.106,0.462,-0.33
-0.212,0.048,0.787
-0.852,0.483,0.203
-0.234,-0.234,-0.473
0.795,0.184,0.027
0.281,0.96,-0.011
0,0,0
-0.519,-0.143,0.208
-0.356,0.686,-0.264
0.102,0.251,-0.963
-0.753,-0.183,-0.632
-0.318,0.393,0.28
-0.146,-0.714,-0.369
0.453,0.339,0.117
0.252,-0.343,0.697
-0.697,-0.007,0.717
-0.255,0.154,-0.494
0.647,0.145,-0.476
0.318,-0.929,-0.189
-0.276,-0.435,0.26
0.711,-0.308,0.256
0.508,0.69,0.516
0,0,0
0.293,0.713,-0.638
-0.347,0.46,-0.036
-0.5,-0.64,-0.085
-0.13,0.242,0.507
-0.198,0.516,0.601
0.847,-0.308,0.433
-0.521,0.15,0.199
0.282,0.105,0.954
-0.033,0.815,-0.041
0.579,-0.515,-0.632
0.478,0.107,0.305
0.198,0.364,-0.704
0.003,-0.567,0.107
0.645,0.346,0.362
-1,-0.001,-0.011
0,0,0
0.022,0.275,-0.507
0.778,-0.181,-0.172
-0.082,0.935,-0.345
0.638,0.726,-0.258
-0.029,-0.442,-0.371
0.131,0.265,0.761
0.387,-0.062,-0.424
0.449,-0.357,0.819
0.368,-0.711,-0.163
0.376,-0.323,0.296
0.553,-0.214,0.561
-0.044,-0.867,-0.496
0.333,0.471,-0.028
-0.585,-0.379,0.717
0.611,0.465,-0.277
0,0,0
0.073,0.047,0.571
0.496,-0.216,-0.611
0.682,-0.719,0.132
0.572,0.071,0.035
-0.06,0.647,-0.495
-0.832,-0.474,-0.288
-0.154,0.533,0.16
-0.331,-0.514,-0.541
0.917,-0.076,-0.392
0.355,0.254,-0.378
0.623,-0.525,0.052
0.276,-0.186,-0.943
0.324,0.364,0.309
-0.101,0.091,-0.805
0.277,0.762,-0.095
0,0,0
0.493,-0.3,-0.023
-0.33,-0.483,-0.811
-0.551,0.755,0.355
-0.381,0.021,-0.433
0.757,0.015,0.305
-0.079,0.614,-0.785
0.098,0.438,-0.363
0.442,0.191,-0.66
-0.553,-0.816,-0.167
-0.308,0.249,0.42
0.154,-0.713,-0.367
0.696,-0.137,0.705
0.357,-0.92,0.161
0.476,0.308,-0.109
0,0,0
-0.813,-0.341,0.472
0.208,-0.514,0.159
-0.772,-0.123,0.235
0.427,-0.503,0.481
